Tipo de inmueble,Delegaci√≥,Precio,¡rea total en metros cuadrados,¡rea construida en metros cuadrados,Precio por metro cuadrado,Latitud,Longitud
casa,Gustavo A. Madero,1882811.91,204,204,9313.72549,19.371992,-99.157853
departamento,Cuauht√©mo,791772.02,23,23,34739.13043,19.515966,-99.15581
casa,Miguel Hidalgo,19344442.75,232,417,45563.54916,19.451994,-99.128867
departamento,Benito Ju√°re,1289261.35,55,55,23655.10909,19.4326577,-99.1774462
casa,¡lvaro ObregÛn,6441199.16,420,325,20000,19.384808,-99.137496
departamento,Miguel Hidalgo,2626027.34,75,75,35333.33333,19.340202,-99.257774
casa,Venustiano Carranza,505386.27,52,52,9807.692308,19.45337,-99.181695
departamento,Benito Ju√°re,3175808.45,63,63,50869.84127,19.455979,-99.122144
departamento,Venustiano Carranza,2214436.42,62,62,36034.22581,19.397397,-99.155802
departamento,¡lvaro ObregÛn,3148953.48,97,97,32759.79381,19.4306069,-99.0949899
casa,Gustavo A. Madero,2724131.73,270,270,10181.48148,19.341894,-99.224525
casa,Coyoac√°,2834127.6,175,175,16342.85714,19.474582,-99.139835
departamento,Tlahuac,720423.29,50,50,14540,19.3929373,-99.2633141
departamento,Cuauht√©mo,3171051.78,100,100,32000,19.283388,-99.055038
departamento,Benito Ju√°re,8028628.66,163,235,34468.08511,19.431629,-99.162762
departamento,Miguel Hidalgo,3295841.66,115,115,28921.12174,19.3864346,-99.1594925
departamento,¡lvaro ObregÛn,28212750,350,350,4285.714286,19.428324,-99.176337
departamento,Miguel Hidalgo,3667398.13,60,60,61666.66667,19.371342,-99.253616
casa,Miguel Hidalgo,19089071.66,600,600,32105.555,19.4445115,-99.1895493
departamento,Miguel Hidalgo,5896174.53,94,94,63297.87234,19.407269,-99.190754
departamento,Benito Ju√°re,8911777.82,157,157,57267.51592,19.429392,-99.181017
casa,Coyoac√°,1904613.03,150,150,12813.33333,19.394358,-99.177444
departamento,Miguel Hidalgo,1028609.96,70,70,14828.57143,19.358008,-99.127094
departamento,Tlalpan,3366507.64,83,83,40560.33301,19.456145,-99.201167
departamento,Tlahuac,564843.51,62,62,9110.379194,19.2998307,-99.1111526
departamento,Iztacalco,887894.36,48,48,18666.66667,19.29423749,-99.0416193
departamento,Benito Ju√°re,1784139.7,110,110,16363.63636,19.410307,-99.065399
departamento,Tlalpan,6143912.94,137,137,45255.47445,19.400785,-99.147419
departamento,Benito Ju√°re,4398399.88,125,125,35500,19.275206,-99.218292
casa,Xochimilco,3151980.15,85,142,22394.3662,19.394358,-99.177444
casa,Venustiano Carranza,1902630.99,312,312,6153.846154,19.2681974,-99.1307421
departamento,¡lvaro ObregÛn,3148953.48,97,97,32759.79381,19.444992,-99.108269
departamento,¡lvaro ObregÛn,1425982.41,90,90,15988.88889,19.341894,-99.224525
departamento,Benito Ju√°re,699702.34,85,85,8306.941176,19.334546,-99.207876
casa,Cuauht√©mo,7729439.02,557,557,14003.59066,19.370272,-99.149127
casa,Gustavo A. Madero,2279193.52,200,200,11500,19.417539,-99.136296
departamento,Miguel Hidalgo,3171051.78,126,126,25396.8254,19.516777,-99.160149
departamento,Azcapotzalco,2081496.25,150,150,14000,19.437841,-99.220367
departamento,Coyoac√°,511564.86,70,70,7374.785714,19.48527,-99.200287
casa,¡lvaro ObregÛn,14597020.86,149,429,34336.30536,19.307417,-99.125191
casa,Gustavo A. Madero,1769271.77,128,128,13945.3125,19.357464,-99.207909
departamento,Benito Ju√°re,1693869.81,75,75,22791.10667,19.492686,-99.097877
casa,Iztapalapa,1234029.82,148,148,8412.162162,19.384808,-99.155339
casa,Miguel Hidalgo,954110.06,100,100,9628.2,19.359004,-99.092622
departamento,Cuauht√©mo,4241281.95,75,75,57066.66667,19.397059,-99.184501
casa,Tlalpan,2834127.6,160,160,17875,19.409095,-99.163216
casa,Tlalpan,3676438.24,354,354,10480.22599,19.300714,-99.12215
departamento,Cuauht√©mo,6938320.98,165,165,42424.24242,19.275756,-99.207832
departamento,Gustavo A. Madero,1295176.44,51,51,25627.45098,19.4097609,-99.1686282
casa,Gustavo A. Madero,2190527.06,12,12,184166.6667,19.473415,-99.143539
casa,La Magdalena Contreras,8573782.5,145,235,36808.51064,19.4669373,-99.1013994
departamento,Cuauht√©mo,8274463.46,147,147,56802.72109,19.304898,-99.241515
casa,Tlalpan,12389859,500,500,24779.718,19.430132,-99.169144
casa,Coyoac√°,6441199.16,232,431,15081.2065,19.2831289,-99.2217537
departamento,Cuauht√©mo,1033564.69,89,89,11719.10112,19.3073525,-99.1061901
departamento,Benito Ju√°re,4262111.42,136,136,31617.64706,19.44673,-99.161695
casa,Iztapalapa,3096730.37,518,518,6032.818533,19.394358,-99.177444
casa,Cuajimalpa,1189144.46,180,180,6666.666667,19.337688,-99.059181
departamento,Coyoac√°,9909537.15,293,293,34129.69283,19.364245,-99.302638
casa,Gustavo A. Madero,1177532.09,106,106,11207.54717,19.354509,-99.149765
departamento,Gustavo A. Madero,2743708.74,82,82,33459.86268,19.469688,-99.085456
casa,Xochimilco,3815171.81,263,263,14638.78327,19.5010872,-99.1230477
departamento,Benito Ju√°re,2477971.72,100,100,25000,19.28127,-99.132254
departamento,Tlahuac,638174.09,60,60,10733.33333,19.3898619,-99.1674138
departamento,Cuajimalpa,10801395.59,212,212,51415.09434,19.302076,-99.049427
departamento,Azcapotzalco,1753987.98,69,69,25652.17391,19.392874,-99.264987
departamento,Benito Ju√°re,2675574.95,55,55,49090.90909,19.472155,-99.161186
departamento,Cuauht√©mo,979934.32,52,52,19016.92308,19.372684,-99.183678
casa,Coyoac√°,1826327.54,89,89,20707.86517,19.456439,-99.144414
